"三阶段的【阈值】","离散数据【方法】","本次的【离散度】","此次的源【文件】","流程是否涉及排序","本次全部的关系数","本次程序运行时间","含五表型的关系数","其中含特定基因数","无关基因的比重为","三阶段执行时间为","【特定基因】比重","满足的【关系】为"
"0.02 0.02 0.02","quantile",4,"D:\RST\Gene100_6.csv","FALSE",235,6.48568208217621,8,3,"p`= 0.05","P = 0.75",1473196704.33561," [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","quantile",4,"D:\RST\Gene100_7.csv","FALSE",249,6.68523998657862,10,3,"p`= 0.07","P = 0.75",1473197214.76219," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","quantile",4,"D:\RST\Gene100_8.csv","FALSE",210,6.14119375149409,10,4,"p`= 0.06","P = 1",1473197692.24666," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","quantile",4,"D:\RST\Gene100_9.csv","FALSE",238,7.00383873383204,8,3,"p`= 0.05","P = 0.75",1473198221.61203," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","quantile",4,"D:\RST\Gene100_10.csv","FALSE",237,7.02977348566055,10,3,"p`= 0.07","P = 0.75",1473198752.72056," [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",4,"D:\RST\Gene100_6.csv","FALSE",185,4.6729189991951,7,3,"p`= 0.04","P = 0.75",1473199144.94492," [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",4,"D:\RST\Gene100_7.csv","FALSE",176,4.57159856557846,11,3,"p`= 0.08","P = 0.75",1473199533.22294," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",4,"D:\RST\Gene100_8.csv","FALSE",147,4.14557689825694,9,3,"p`= 0.06","P = 0.75",1473199893.0073," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",4,"D:\RST\Gene100_9.csv","FALSE",173,5.23607199986776,7,2,"p`= 0.05","P = 0.5",1473200316.49253," [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",4,"D:\RST\Gene100_10.csv","FALSE",173,5.05469020207723,8,3,"p`= 0.05","P = 0.75",1473200728.89903," [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",4,"D:\RST\Gene100_6.csv","FALSE",325,6.94790560007095,13,4,"p`= 0.09","P = 1",1473201255.33475," [ZEA,GRMZM2G012966] [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",4,"D:\RST\Gene100_7.csv","FALSE",338,7.33684908151627,16,3,"p`= 0.13","P = 0.75",1473201804.57657," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",4,"D:\RST\Gene100_8.csv","FALSE",303,6.79211618502935,17,4,"p`= 0.13","P = 1",1473202321.31991," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",4,"D:\RST\Gene100_9.csv","FALSE",348,7.63270359834035,12,3,"p`= 0.09","P = 0.75",1473202888.76563," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",4,"D:\RST\Gene100_10.csv","FALSE",326,7.47826956510544,14,4,"p`= 0.1","P = 1",1473203448.22562," [ZEA,GRMZM2G152135] [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.01 0.01 0.01","quantile",3,"D:\RST\Gene100_6.csv","FALSE",469,14.2971605022748,25,6,"p`= 0.19","P = 1.5",1473204416.85422," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [Bcry,GRMZM2G108457] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",3,"D:\RST\Gene100_7.csv","FALSE",490,14.8377635637919,22,5,"p`= 0.17","P = 1.25",1473205416.02638," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",3,"D:\RST\Gene100_8.csv","FALSE",480,14.3587828000387,24,7,"p`= 0.17","P = 1.75",1473206391.33404," [ZEA,GRMZM2G152135] [ZEA,GRMZM2G012966] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [Bcry,GRMZM2G108457] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",3,"D:\RST\Gene100_9.csv","FALSE",506,15.6969359358152,18,5,"p`= 0.13","P = 1.25",1473207442.03466," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.01 0.01 0.01","quantile",3,"D:\RST\Gene100_10.csv","FALSE",512,15.5566451191902,19,6,"p`= 0.13","P = 1.5",1473208484.39579," [ZEA,GRMZM2G152135] [ZEA,GRMZM2G012966] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [BC,GRMZM2G152135]"
"0.015 0.015 0.015","quantile",3,"D:\RST\Gene100_6.csv","FALSE",315,8.77803721427918,13,4,"p`= 0.09","P = 1",1473209120.03501," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.015 0.015 0.015","quantile",3,"D:\RST\Gene100_7.csv","FALSE",294,8.72874925136566,13,5,"p`= 0.08","P = 1.25",1473209752.57883," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.015 0.015 0.015","quantile",3,"D:\RST\Gene100_8.csv","FALSE",289,8.51084733406703,16,4,"p`= 0.12","P = 1",1473210375.32075," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","quantile",3,"D:\RST\Gene100_9.csv","FALSE",314,9.94770954847336,15,5,"p`= 0.1","P = 1.25",1473211082.11682," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.015 0.015 0.015","quantile",3,"D:\RST\Gene100_10.csv","FALSE",332,9.29221244653066,11,3,"p`= 0.08","P = 0.75",1473211748.78765," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","quantile",3,"D:\RST\Gene100_6.csv","FALSE",214,5.77035464843114,7,4,"p`= 0.03","P = 1",1473212204.4604," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.02 0.02 0.02","quantile",3,"D:\RST\Gene100_7.csv","FALSE",216,5.84194348255793,9,3,"p`= 0.06","P = 0.75",1473212664.03855," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","quantile",3,"D:\RST\Gene100_8.csv","FALSE",182,5.37683204809825,9,4,"p`= 0.05","P = 1",1473213098.4447," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","quantile",3,"D:\RST\Gene100_9.csv","FALSE",213,6.84854288498561,10,4,"p`= 0.06","P = 1",1473213618.47301," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.02 0.02 0.02","quantile",3,"D:\RST\Gene100_10.csv","FALSE",225,6.11595448255539,9,3,"p`= 0.06","P = 0.75",1473214095.84992," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",3,"D:\RST\Gene100_6.csv","FALSE",160,3.87260715166728,6,2,"p`= 0.04","P = 0.5",1473214437.95101," [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",3,"D:\RST\Gene100_7.csv","FALSE",163,4.04439413547516,9,3,"p`= 0.06","P = 0.75",1473214789.86624," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",3,"D:\RST\Gene100_8.csv","FALSE",136,3.60181810061137,9,3,"p`= 0.06","P = 0.75",1473215114.85083," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",3,"D:\RST\Gene100_9.csv","FALSE",155,4.57548319896062,7,3,"p`= 0.04","P = 0.75",1473215498.23953," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",3,"D:\RST\Gene100_10.csv","FALSE",152,3.90312416950862,9,3,"p`= 0.06","P = 0.75",1473215842.60093," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",3,"D:\RST\Gene100_6.csv","FALSE",288,6.09660884936651,13,4,"p`= 0.09","P = 1",1473216317.35087," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.02 0.01 0.01","quantile",3,"D:\RST\Gene100_7.csv","FALSE",287,6.01960388422012,13,3,"p`= 0.1","P = 0.75",1473216787.50704," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",3,"D:\RST\Gene100_8.csv","FALSE",251,5.6913697163264,13,4,"p`= 0.09","P = 1",1473217238.19259," [ZEA,GRMZM2G152135] [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",3,"D:\RST\Gene100_9.csv","FALSE",308,7.07030521631241,15,4,"p`= 0.11","P = 1",1473217771.21013," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966] [AC,GRMZM2G152135]"
"0.02 0.01 0.01","quantile",3,"D:\RST\Gene100_10.csv","FALSE",296,6.33749936819077,13,3,"p`= 0.1","P = 0.75",1473218262.16213," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.01 0.01 0.01","quantile",2,"D:\RST\Gene100_6.csv","FALSE",400,10.8628042340279,17,3,"p`= 0.14","P = 0.75",1473219024.24769," [LUT,GRMZM2G300348] [GRMZM2G012966,LUT] [BC,GRMZM2G012966]"
"0.01 0.01 0.01","quantile",2,"D:\RST\Gene100_7.csv","FALSE",402,10.9291142821312,18,4,"p`= 0.14","P = 1",1473219788.30369," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [Bcry,GRMZM2G152135] [BC,GRMZM2G012966]"
"0.01 0.01 0.01","quantile",2,"D:\RST\Gene100_8.csv","FALSE",403,10.5815358519554,23,3,"p`= 0.2","P = 0.75",1473220532.35236," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.01 0.01 0.01","quantile",2,"D:\RST\Gene100_9.csv","FALSE",417,11.8877075513204,16,4,"p`= 0.12","P = 1",1473221354.09003," [LUT,GRMZM2G300348] [GRMZM2G012966,LUT] [Bcry,GRMZM2G152135] [BC,GRMZM2G012966]"
"0.01 0.01 0.01","quantile",2,"D:\RST\Gene100_10.csv","FALSE",414,11.3145812829336,17,4,"p`= 0.13","P = 1",1473222145.31631," [ZEA,GRMZM2G152135] [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","quantile",2,"D:\RST\Gene100_6.csv","FALSE",234,5.89894270102183,9,2,"p`= 0.07","P = 0.5",1473222608.0383," [GRMZM2G012966,LUT] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","quantile",2,"D:\RST\Gene100_7.csv","FALSE",226,5.7487797498703,12,2,"p`= 0.1","P = 0.5",1473223065.64773," [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","quantile",2,"D:\RST\Gene100_8.csv","FALSE",209,5.49660496711731,11,3,"p`= 0.08","P = 0.75",1473223504.00672," [LUT,GRMZM2G012966] [LUT,GRMZM2G300348] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","quantile",2,"D:\RST\Gene100_9.csv","FALSE",250,6.51154751777649,10,2,"p`= 0.08","P = 0.5",1473224003.03835," [GRMZM2G012966,LUT] [BC,GRMZM2G012966]"
"0.015 0.015 0.015","quantile",2,"D:\RST\Gene100_10.csv","FALSE",249,6.15202793280284,10,3,"p`= 0.07","P = 0.75",1473224480.4866," [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","quantile",2,"D:\RST\Gene100_6.csv","FALSE",167,3.65365173419317,7,2,"p`= 0.05","P = 0.5",1473224816.36689," [GRMZM2G012966,LUT] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","quantile",2,"D:\RST\Gene100_7.csv","FALSE",160,3.41633199850718,8,2,"p`= 0.06","P = 0.5",1473225129.84523," [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","quantile",2,"D:\RST\Gene100_8.csv","FALSE",141,3.360105351607,7,2,"p`= 0.05","P = 0.5",1473225443.8634," [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","quantile",2,"D:\RST\Gene100_9.csv","FALSE",178,4.42447831630707,6,2,"p`= 0.04","P = 0.5",1473225818.80428," [GRMZM2G012966,LUT] [BC,GRMZM2G012966]"
"0.02 0.02 0.02","quantile",2,"D:\RST\Gene100_10.csv","FALSE",160,3.55333411296209,10,3,"p`= 0.07","P = 0.75",1473226141.58552," [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",2,"D:\RST\Gene100_6.csv","FALSE",121,2.16588491996129,7,1,"p`= 0.06","P = 0.25",1473226380.50739," [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",2,"D:\RST\Gene100_7.csv","FALSE",108,2.01633881727854,8,2,"p`= 0.06","P = 0.5",1473226610.84674," [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",2,"D:\RST\Gene100_8.csv","FALSE",99,1.6746817668279,9,1,"p`= 0.08","P = 0.25",1473226819.76146," [LUT,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",2,"D:\RST\Gene100_9.csv","FALSE",112,2.81401443084081,6,2,"p`= 0.04","P = 0.5",1473227098.02103," [GRMZM2G012966,LUT] [BC,GRMZM2G012966]"
"0.025 0.025 0.025","quantile",2,"D:\RST\Gene100_10.csv","FALSE",124,1.96828231811523,7,1,"p`= 0.06","P = 0.25",1473227324.69997," [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",2,"D:\RST\Gene100_6.csv","FALSE",211,3.87583609819412,9,2,"p`= 0.07","P = 0.5",1473227665.60593," [GRMZM2G012966,LUT] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",2,"D:\RST\Gene100_7.csv","FALSE",196,3.54397948582967,10,2,"p`= 0.08","P = 0.5",1473227986.75469," [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",2,"D:\RST\Gene100_8.csv","FALSE",193,3.56135209798813,11,2,"p`= 0.09","P = 0.5",1473228316.24624," [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",2,"D:\RST\Gene100_9.csv","FALSE",230,4.61358533302943,10,2,"p`= 0.08","P = 0.5",1473228701.36509," [GRMZM2G012966,LUT] [BC,GRMZM2G012966]"
"0.02 0.01 0.01","quantile",2,"D:\RST\Gene100_10.csv","FALSE",208,3.81693201462428,11,3,"p`= 0.08","P = 0.75",1473229039.08557," [LUT,GRMZM2G300348] [LUT,GRMZM2G012966] [BC,GRMZM2G012966]"
